"num","subject","predicate","object"
"104","Event","owl#disjointWith","PostalCodeRegion"
"105","Abdomen","prettyString","stomachs"
"106","AcademicTesting","prettyString","quizzed"
"107","accountFullName","22-rdf-syntax-ns#type","rdf-schema#Property"
"108","AbkhazLanguage","22-rdf-syntax-ns#type","Individual"
"109","AcademicTrimester","22-rdf-syntax-ns#type","TemporalObjectType"
"110","InformationStore","rdf-schema#subClassOf","Expression-Underspecified"
"111","AccessoryFn-Artifact","22-rdf-syntax-ns#type","CollectionDenotingFunction"
"112","LivingLanguage","rdf-schema#comment","A specialization of #$NaturalLanguage.  An instance of #$NaturalLanguage is an instance of #$LivingLanguage just in case it has at least one extant native speaker."
"113","above-Generally","arg2Format","openEntryFormatInArgs"
"114","StringIndexingSlot","22-rdf-syntax-ns#type","KEClarifyingCollectionType"
"115","AccessPageFn-IBT","arity","1"
"116","SKSISupportedFunction","owl#disjointWith","SKSISupportedComparisonPredicate"
"117","48Hours-TheMovie","22-rdf-syntax-ns#type","ComedyMovie"
"118","ProperNameString","22-rdf-syntax-ns#type","IDStringType"
"119","PoisoningTypeByAgentType","rdf-schema#comment","A #$CollectionType (collection of collections) and a covering on #$Poisoning.  Each instance is a collection of poisonings whose instances have the common feature of a particular type of substance being involved, e.g. poisoning by cyanide."
"120","Administrator","prettyString","layman that is Has Administrators of an institution"
"121","AccessoryFn-Artifact","arg1Genl","Artifact"
"122","ClimateConcept","rdf-schema#comment","A #$ConceptTypeByDomain (q.v.).  Instances of #$ClimateConcept are collections and relations having to do with climate.  Specializations of #$AnnualClimateCycle, those specializations of #$GeographicalRegion that are closely associated with particular climates, and relations used for describing the locations, meteorological features, inhabitants,  and other features of regions in various types of climates are instances of this collection."
"123","Accordion","rdf-schema#subClassOf","MusicalInstrument"
"124","OrganizationTypeByActivityType","rdf-schema#subClassOf","OrganizationType"
"125","21cTestGroup2","22-rdf-syntax-ns#type","21cSagemanDataGroup"
"126","AbilityOfTypeToTypeFn","22-rdf-syntax-ns#type","BinaryFunction"
"127","AccumulatingSteadily","prettyString","build"
"128","OuterGarment","prettyString","outerwear"
"129","AcademicTerm","prettyString-Canonical","academic term"
"130","PrintingProgram","rdf-schema#comment","The collection of programs that send data to be printed to a printer."
"131","NonNegativeScalarInterval","22-rdf-syntax-ns#type","owl#Class"
"132","AccountSystemFn","rdf-schema#domain","AccountSystemTypeByImplementationMeans"
"133","abnormal","sharedNotes","NoteAboutExceptionCheckingDuringInference"
"134","21cTestGroup2-7","22-rdf-syntax-ns#type","21cSagemanDataGroup2"
"135","AbrahamBenrubi","prettyString-Canonical","Abraham Benrubi"
"136","TrainingCamp","22-rdf-syntax-ns#type","ArtifactualFeatureType"
"137","AcceptingAnInvitation","prettyString","accepted an invitation"
"138","802-11WirelessLANProtocol","22-rdf-syntax-ns#type","InternetStandard"
"139","Aargau-CantonSwitzerland","22-rdf-syntax-ns#type","State-Geopolitical"
"140","AdventureGameProgram","rdf-schema#comment","The collection of all  #$ComputerGamePrograms which are 'adventure' games."
"141","AbductingSomeone","prettyString-Canonical","abduction"
"142","86thMeridian-West","22-rdf-syntax-ns#type","Individual"
"143","AbilityOfTypeToTypeFn","rdf-schema#domain","owl#Class"
"144","AuthenticationProgram-Remote","rdf-schema#comment","The collection of 
authentication applications for users and services on a network."
"145","ConceptualWork","prettyString","piece"
"146","2ndMIDDestroyAtChester","prettyString","destroyed enemy forces at Objective CHESTER"
"147","movesWith","22-rdf-syntax-ns#type","CoexistingObjectsPredicate"
"148","AbstractIndividual","prettyString","individual object that has been also abstract thing"
"149","IntermediateAdjustableRateLoan","22-rdf-syntax-ns#type","TemporalStuffType"
"150","ServiceProgram","prettyString","service program"
"151","RealNumberDatatype","22-rdf-syntax-ns#type","ComputerDatatypeType"
"152","Time-Topic","22-rdf-syntax-ns#type","CycVocabularyTopLevelTopic"
"153","FamousHuman","prettyString","public figure"
"154","AbstractThing","rdf-schema#subClassOf","AspatialThing"
"155","AbutilonSandwicense","22-rdf-syntax-ns#type","BiologicalSpecies"
"156","AcademicSemester","22-rdf-syntax-ns#type","AcademicCycles-Time-Topic"
"157","2AMChess-TheGame","22-rdf-syntax-ns#type","OnlineGameProgram"
"158","SolidTangibleThing","22-rdf-syntax-ns#type","DosagePhysicalStateType"
"159","AcidType-Monoprotic","prettyString-Canonical","monoprotic acid"
"160","AccountingFirm","22-rdf-syntax-ns#type","ExistingObjectType"
"161","AcidType-Weak","prettyString","weak acids"
"162","7Seconds-MusicGroup","22-rdf-syntax-ns#type","Individual"
"163","AbstractIndividual","prettyString","individuals that is also abstract thing"
"164","1ByteIntegerDatatype","prettyString","one-byte integers"
"165","accessSlotForType","22-rdf-syntax-ns#type","rdf-schema#Property"
"166","SocialGathering","owl#disjointWith","IntrinsicStateChangeEvent"
"167","OrganizationTypeByActivityType","sharedNotes","SharedNoteOnGenlsRelationsBetweenFacetingCollectionTypes"
"168","WorldWideWebPage-AIS","prettyString","www page"
"169","AdjustableRateLoanTypeByAdjustmentPeriod","sharedNotes","SharedNoteOnGenlsRelationsBetweenFacetingCollectionTypes"
"170","MathematicalFunctionOnScalars","rdf-schema#subClassOf","ScalarDenotingFunction"
"171","Aardvark-TheTVShow","22-rdf-syntax-ns#type","TVSeriesProduct"
"172","SubLList","22-rdf-syntax-ns#type","owl#Class"
"173","RegularlyRepeatedEventType","prettyString-Canonical","periodic event"
"174","objectFoundInLocation","prettyString","locations"
"175","HighTechManufacturingEnterprise","rdf-schema#comment","The colleciton of organizations (businesses) that manufacture high tech items."
"176","Leader","prettyString","chief"
"177","AbductorPollicisBrevis","sharedNotes","BeforeMajorChangesToAnatomicalParts"
"178","PhysiologicalConditionType","typeGenls","PhysiologicalCondition"
"179","IslamicNationalist","22-rdf-syntax-ns#type","SetOrCollection"
"180","AccountSystemTypeByImplementationMeans","22-rdf-syntax-ns#type","SecondOrderCollection"
"181","GasPipeline","22-rdf-syntax-ns#type","ExistingObjectType"
