"num","subject","predicate","object"
"4965","ProseLiteraryWork-CW","22-rdf-syntax-ns#type","ObjectType"
"4966","objectFoundInLocation","rdf-schema#range","SpatialThing-NonSituational"
"4967","ABNAMROHoldingNV","22-rdf-syntax-ns#type","Individual"
"4968","CycLAssertion","rdf-schema#comment","The collection of semantically well-formed #$CycLSentences asserted to the Cyc Knowledge Base.  Each instance of #$CycLAssertion is either (1) an HL assertion, i.e. a CycL sentence that corresponds to a data structure actually in the Cyc KB), or (2) an EL assertion : an Epistemological Level CycL sentence that can be canonicalized into one or more already extant HL assertions.  #$CycLAssertion is used as a quoted argument type constraint for certain meta-predicates, such as #$overrides."
"4969","AbuKheirElMasry","rdf-schema#comment","An instructor at the Jihad Wal Camp, he teaches the use
and making of explosives."
"4970","AbuDoha","prettyString","Doha"
"4971","ProgramObject","22-rdf-syntax-ns#type","ComputerDatatypeType"
"4972","Temperature","owl#disjointWith","IntervalOnNumberLine"
"4973","ExistenceDependentTerminalCollection","22-rdf-syntax-ns#type","TimeIndependentCollection"
"4974","AbstractLexiconSpecification","prettyString-Canonical","abstract lexicon specification"
"4975","AnimalTypeByMentalState","22-rdf-syntax-ns#type","SecondOrderCollection"
"4976","AbleMinded","rdf-schema#subClassOf","IntelligentAgent"
"4977","48Hours-TheMovie","22-rdf-syntax-ns#type","ActionMovie"
"4978","12InchTelevisionSet","rdf-schema#subClassOf","ManufacturedGoods"
"4979","21cTestGroup2-1","22-rdf-syntax-ns#type","Group"
"4980","7-TheDigit","22-rdf-syntax-ns#type","ArabicNumeral"
"4981","60FtDolls-MusicGroup","prettyString","60 Ft Dolls"
"4982","Accommodating-HelpingAnAgent","rdf-schema#comment","A sub-collection of #$HelpingAnAgent. Each instance is the act of providing something (lodging or seat or food) to meet a need of someone."
"4983","Obligation","rdf-schema#comment","A specialization of #$NormativeSpecification.  Each instance of the collection #$Obligation is specification of what some agent (related to the obligation via #$obligatedAgents (q.v.)) is obliged to do, or make true, for one or more other agents or possibly 'for' society in general.  An obligation is the most general case of some agent owing something to another.  Obligations may be undertaken in conjunction with various kinds of #$Agreements.   Unlike an agreement, however, an obligation need not have a second known party (though some do).  An obligation can exist and be understood without identifying another particular agent as the 'holder' of the obligation -- and that may be true, even if the beneficiary (#$obligationOwedTo) can be identified.  For example, assuming that parents have an obligation to care for their children, it is not clear with whom a parent has 'agreed' to take care of his or her child.  Some common ways to incur an obligation are through social transactions (e.g. family duties, friendship, favors) or through financial transactions (e.g. a #$PaymentObligation).   In addition, obligations may be imposed on those who are subject to one or more instances of #$CodeOfConduct, e.g. #$SportsRulesOf-BoxingSportsEvent or #$OfficeCodeOfConductMt."
"4984","AcceleratedX-TheProgram","22-rdf-syntax-ns#type","UnversionedProgram"
"4985","intendedMaleficiary","22-rdf-syntax-ns#type","BinaryRolePredicate"
"4986","AbsoluteLocationalPredicate","rdf-schema#subClassOf","LocationalPredicate"
"4987","AccessoryFn-Activity","prettyString-Canonical","Accessory Fn Activity"
"4988","3MMRRegimentHQ-RRS","quotedIsa","FACToryIrrelevantTerm"
"4989","AbdulAhadGuru","prettyString","Abdul Guru"
"4990","Organism-Whole","rdf-schema#subClassOf","SpatiallyContinuousThing"
"4991","SystemicVein","22-rdf-syntax-ns#type","InternalAnimalBodyRegionType"
"4992","Abdicating","prettyString","Abdicates"
"4993","AbuIyad-PLOLeader","prettyString","Ben Hasin"
"4994","AbstractIndividual","prettyString","individual that has been also abstract thing"
"4995","AbradingTeeth","prettyString-Canonical","abrading teeth"
"4996","RifledBoreWeapon","prettyString-Canonical","rifled bore weapon"
"4997","3DUltraMiniGolfDeluxe-TheGame","22-rdf-syntax-ns#type","ComputerGameProgram"
"4998","Course-Academic","rdf-schema#subClassOf","Education"
"4999","Acceleration","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"5000","AcademyAwardFn","rdf-schema#domain","AcademyAwardCategory"
"5001","AbingtonBancorpInc","22-rdf-syntax-ns#type","PubliclyHeldCorporation"
"5002","AwardPractice","rdf-schema#comment","A collection of intangibles.  Each instance of #$AwardPractice is a distinction bestowed upon someone or something by an appropriately authorized agent, generally in recognition of some accomplishment and often as a result of a competitive process.  Awards may be given to people, books, buildings, cities, etc.  Note that this collection represents the awards themselves rather than tangible symbols of awards, such as medals or Oscar statuettes.  Nor do its instances represent any money that might accompany an award.  See also #$SymbolicObject, #$Token-Physical."
"5003","MotorizedRifleDivision","22-rdf-syntax-ns#type","MilitaryOrganizationConcept"
"5004","1YearAdjustableRateLoan","prettyString","twelve month adjustable rate loans"
"5005","AAAIPress","22-rdf-syntax-ns#type","Organization"
"5006","Temperature","prettyString","temperatures"
"5007","23rdArmoredDivision","prettyString","the Blue 23rd Armored Division"
"5008","genlInverse","22-rdf-syntax-ns#type","IrreflexiveBinaryPredicate"
"5009","FileManagement-Topic","22-rdf-syntax-ns#type","KBDependentCollection"
"5010","AcadiaRealtyTrust","22-rdf-syntax-ns#type","PubliclyHeldCorporation"
"5011","LongitudeLine","rdf-schema#subClassOf","GeographicalPlace-1D"
"5012","ChangeOfStatusEvent","22-rdf-syntax-ns#type","TemporalObjectType"
"5013","objectFoundInLocation","rdf-schema#range","SpatialThing-Localized"
"5014","85MMSmoothBoreCannon","prettyString","85 mm smooth bore gun"
"5015","ActsCommonlyConsideredCriminal","rdf-schema#subClassOf","HumanActivity"
"5016","AbrahamBenrubi","22-rdf-syntax-ns#type","Actor"
"5017","PropositionalConceptualWork-HorrorGenre","22-rdf-syntax-ns#type","PCWTypeByGenre"
"5018","objectFoundInLocation","prettyString","locations"
"5019","MentalSituation","rdf-schema#comment","A specialization of #$Situation. Each instance of #$MentalSituation is a mental situation such as a person seeing the color red, or believing that his enemies control the CIA, or desiring that Fidel Castro shave his beard. An important subcollection of this collection is #$AtLeastPartiallyMentalEvent whice is the collection of mental situations that are events, such as thinking about something or tasting something. Other instances of #$MentalSituation are more "long-standing" and stable, and hence also instances of #$StaticSituation, e.g., believing something, or having some goal. Cf. #$MentalSituationFn."
"5020","AceticAcid","prettyString-Canonical","acetic acid"
"5021","AcidType-Weak","owl#disjointWith","AcidType-Negligible"
"5022","23rdArmoredDivision","22-rdf-syntax-ns#type","ArmoredDivision"
"5023","21cTestGroup2-6","22-rdf-syntax-ns#type","21cSagemanDataGroup2"
"5024","Regiment-MilitaryEchelon","prettyString-Canonical","regiment"
"5025","3DUltraMiniGolfDeluxe-TheGame","22-rdf-syntax-ns#type","ArcadeGameProgram"
"5026","8MMCamcorder","rdf-schema#comment","Camcorders which record on #$8MMCassettes.  These
types of #$AmateurVideoCameras usually need to be hooked up to the TV
directly to view the tapes."
"5027","AccumulatingSteadily","prettyString","has built"
"5028","AccomplishmentType","prettyString","types of accomplishment"
"5029","AbilityOfToTypeFn","22-rdf-syntax-ns#type","IndividualDenotingFunction"
"5030","Event","22-rdf-syntax-ns#type","FirstOrderCollection"
"5031","abnormal","rdf-schema#domain","List"
"5032","76MMRifledBoreCannon","prettyString","76 mm rifled bore gun"
"5033","AcceptingAnInvitation","prettyString","will accept an invitation"
"5034","MicrosoftComputerProgram","22-rdf-syntax-ns#type","AtemporalNecessarilyEssentialCollectionType"
"5035","AviationUnit-MilitarySpecialty","prettyString","air units"
"5036","superTaxons","rdf-schema#subPropertyOf","rdf-schema#subClassOf"
"5037","20InchTelevisionSet","rdf-schema#subClassOf","TelevisionSet"
"5038","ChemicallyAcidicSubstance","prettyString","chemically acidic substances"
"5039","AbuMusabAlSuri","rdf-schema#comment","The emir of #$JamaateJihalAlSuri."
"5040","IntelligentAgent","owl#disjointWith","VisualPattern"
"5041","AbdAlRahmanShalgam","prettyString-Canonical","Abd al-Rahman Shalgam"
"5042","SearchEngine","prettyString","web search engines"
"5043","AccumulatingSteadily","prettyString","build up"
"5044","TelevisionSet","prettyString","TV"
"5045","IntelligentAgent","22-rdf-syntax-ns#type","TemporalStuffType"
"5046","PersonTypeByActivity","owl#disjointWith","OrganismPartType"
"5047","Aana-DistrictWesternSamoa","22-rdf-syntax-ns#type","State-Geopolitical"
"5048","AccessPageFn-IBT","prettyString-Canonical","Access Page Fn IBT"
"5049","1-TheDigit","prettyString","the numerals 1"
"5050","InterExistingObjectPredicate","rdf-schema#comment","A specialization of both #$ObjectPredicate (q.v.) and #$BinaryPredicate.  Each instance of #$InterExistingObjectPredicate is a binary predicate that only relates pairs of #$SomethingExistings to each other.  Thus both argument-places of such a predicate are constrained to instances (see #$argIsa) of #$SomethingExisting or some specialization thereof.  Instances of #$InterExistingObjectPredicate include #$derivedFrom, #$cohabitants, #$capitalCity, and #$electricallyConnectedTo."
"5051","Profits","prettyString","rate of monetary flow that has been a profit of a businesses"
"5052","SaudiPerson","prettyString","Saudi Arabian persons"
"5053","5-TheDigit","rdf-schema#comment","The numeral 5 of the Arabic Number system.  This is '5' as a #$Character-Abstract rather than the physical #$WrittenCharacter or the abstract mathematical #$Number-General."
"5054","AwardPractice","prettyString","honours"
"5055","21cTestGroup2-9","22-rdf-syntax-ns#type","Group"
"5056","Organism-Whole","22-rdf-syntax-ns#type","TestOWLExportConcept"
"5057","AbductingSomeone","prettyString","will have snatched"
"5058","ServiceProgram","prettyString-Canonical","daemon"
"5059","AcesTheCompleteCollectorsEdition-TheGame","22-rdf-syntax-ns#type","UnversionedProgram"
"5060","AbuMusabAlSuri","22-rdf-syntax-ns#type","Leader"
"5061","12AngryMen-TheMovie","22-rdf-syntax-ns#type","DramaticMovie"
"5062","Platform-Military","rdf-schema#subClassOf","DurableGood"
"5063","AdjustableRateLoanTypeByAdjustmentPeriod","22-rdf-syntax-ns#type","SecondOrderCollection"
"5064","36thParallel-North","22-rdf-syntax-ns#type","LatitudeLine"
"5065","requiredArg1Pred","rdf-schema#range","Predicate"
"5066","Abdicating","rdf-schema#subClassOf","Resigning"
"5067","SetOrCollection","22-rdf-syntax-ns#type","owl#Class"
"5068","AcademicTest","prettyString","academic tests"
"5069","VideoCassette","22-rdf-syntax-ns#type","SpatiallyDisjointObjectType"
"5070","20InchTelevisionSet","rdf-schema#subClassOf","ManufacturedGoods"
"5071","Accelerating-Rotational","rdf-schema#subClassOf","Movement-Rotation"
"5072","21cTestGroup7","22-rdf-syntax-ns#type","21cSagemanDataGroup"
"5073","25thInfantryDivision-Light-Washington","22-rdf-syntax-ns#type","UnitedStatesMilitaryOrganization"
"5074","GeneralizedTransfer","22-rdf-syntax-ns#type","Top-Topic"
